"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT11"
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-01",,,"0.00","0.0","0.0","53","36","37",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-02",,,"0.00","0.0","0.0","52","26","29",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-03",,,"0.24","0.0","0.0","53","29","47",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-04",,,"0.10","0.0","0.0","53","46","51",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-05",,,"0.30","0.0","0.0","57","35","37",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-06",,,"0.05","0.0","0.0","42","30","38",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-07",,,"0.00","0.0","0.0","53","28","29",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-08",,,"0.35","1.0","1.0","45","29","35",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-09",,,"0.00","0.0","0.0","44","26","27",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-10",,,"0.00","0.0","0.0","39","27","39",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-11",,,"0.00","0.0","0.0","59","27","59",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-12",,,"0.34","0.0","0.0","64","45","64",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-13",,,"0.00","0.0","0.0","67","41","42",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-14",,,"0.10","0.0","0.0","50","39","45",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-15",,,"0.10","0.0","0.0","48","41","42","    1",,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-16",,,"0.00","0.0","0.0","59","41","53",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-17",,,"0.00","0.0","0.0","59","29","29",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-18",,,"0.05","0.5","0.0","36","26","27",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-19",,,"0.40","0.0","0.0","42","26","38",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-20",,,"0.00","0.0","0.0","43","22","23",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-21",,,"0.00","0.0","0.0","33","21","21",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-22",,,"0.00","0.0","0.0","35","20","23",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-23",,,"0.00","0.0","0.0","42","22","25",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-24",,,"0.00","0.0","0.0","48","25","31",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-25",,,"1.92","0.0","0.0","50","31","46",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-26",,,"0.05","0.0","0.0","49","31","31",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-27",,,"0.00","0.0","0.0","47","31","38",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-28",,,"0.00","0.0","0.0","48","38","38",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-29",,,"0.00","0.0","0.0","45","38","38",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-30",,,"0.00","0.0","0.0","45","24","26",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-01-31",,,"0.00","0.0","0.0","36","26","36",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-01",,,"0.00","0.0","0.0","44","28","30",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-02",,,"0.10","0.0","0.0","48","30","40",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-03",,,"0.02","0.0","0.0","60","38","40",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-04",,,"0.05","0.0","0.0","65","39","48",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-05",,,"0.06","0.0","0.0","66","42","42",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-06",,,"0.15","0.0","0.0","42","37","39",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-07",,,"1.27","0.0","0.0","59","39","59",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-08",,,"0.25","0.0","0.0","59","30","31",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-09",,,"0.00","0.0","0.0","45","28","29",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-10",,,"0.10","0.0","0.0","50","29","42",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-11",,,"0.87","0.0","0.0","50","28","49",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-12",,,"1.20","0.0","0.0","56","40","40",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-13",,,"0.27","0.0","0.0","49","39","47",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-14",,,"0.10","0.0","0.0","55","36","36",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-15",,,"0.00","0.0","0.0","36","20","21",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-16",,,"0.00","0.0","0.0","38","21","32",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-17",,,"0.10","0.0","0.0","52","31",,,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-18",,,"0.00","0.0","0.0","55","31","43",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-19",,,"0.10","0.0","0.0","59","42","42",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-20",,,"0.00","0.0","0.0","52","29","33",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-21",,,"0.00","0.0","0.0","39","23","24",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-22",,,"0.00","0.0","0.0","39","23","38",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-23",,,"0.00","0.0","0.0","55","23","36",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-24",,,"0.00","0.0","0.0","58","23","31",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-25",,,"0.10","0.0","0.0","61","31","47",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-26",,,"0.32","0.0","0.0","52","46","49","    1",,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-27",,,"0.65","0.0","0.0","52","35","36",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-28",,,"0.01","0.0","0.0","42","30","33",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-02-29",,,"0.00","0.0","0.0","46","28","30",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-01",,,"0.00","0.0","0.0","48","22","30",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-02",,,"0.00","0.0","0.0","51","30","44",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-03",,,"0.14","0.0","0.0","66","41","42",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-04",,,"0.06","0.0","0.0","64","42","51",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-05",,,"0.00","0.0","0.0","65","37","41",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-06",,,"0.00","0.0","0.0","55","33","37",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-07",,,"0.00","0.0","0.0","50","37","43",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-08",,,"0.00","0.0","0.0","50","29","38",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-09",,,"0.00","0.0","0.0","61","29","43",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-10",,,"0.00","0.0","0.0","74","43","58",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-11",,,"0.00","0.0","0.0","73","42","43",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-12",,,"0.10","0.0","0.0","54","42","47",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-13",,,"0.20","0.0","0.0","60","47","54",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-14",,,"0.00","0.0","0.0","58","41","42",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-15",,,"0.25","0.0","0.0","58","39","42",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-16",,,"0.00","0.0","0.0","49","33","35",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-17",,,"0.02","0.0","0.0","54","33","44",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-18",,,"0.00","0.0","0.0","65","33","42",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-19",,,"0.52","0.0","0.0","50","42","50",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-20",,,"0.05","0.0","0.0","72","50","64",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-21",,,"0.05","0.0","0.0","81","48","49",,,
"USC00182325","DALECARLIA RESERVOIR, MD US","2020-03-22",,,"0.00","0.0","0.0","69","35","69",,,
